Serial;From;To;Date;Operator;Flight No;Aircraft
1;SKG;MXP;22/02/2001;AZ;725;M82
2;MXP;CDG;22/02/2001;AZ;314;M82
3;CDG;MXP;26/02/2001;AZ;303;M82
4;MXP;SKG;26/02/2001;AZ;724;M82
5;SKG;ATH;20/04/2002;OA;903;734
6;ATH;MAD;20/04/2002;OA;247;734
7;AGP;MXP;26/04/2002;AZ;89;AR1
8;MXP;SKG;26/04/2002;ZS;506;M82
9;SKG;BRU;24/10/2003;OA;143;734
10;LGW;ATH;05/11/2003;U2;5085;319
11;SKG;MXP;26/02/2007;AZ;735;M82
12;MXP;JFK;26/02/2007;AZ;604;772
13;JFK;FCO;04/03/2007;AZ;611;763
14;FCO;SKG;05/03/2007;AZ;734;M82
15;SKG;CGN;15/09/2007;4U;985;319
16;CGN;SKG;17/09/2007;4U;984;319
17;SKG;MUC;01/08/2008;A3;500;734
18;MUC;JFK;01/08/2008;LH;410;346
19;JFK;LAS;06/08/2008;AA;257;752
20;VGT;GCN;07/08/2008;V2;1149;D38
21;GCN;VGT;07/08/2008;V2;1149;D38
22;LAS;SFO;08/08/2008;WN;1165;73G
23;SFO;FRA;12/08/2008;UA;900;744
24;FRA;ZRH;13/08/2008;LH;3734;319
25;ZRH;SKG;13/08/2008;LX;1850;321
26;SKG;ZRH;29/09/2009;LX;1851;321
27;ZRH;LCY;29/09/2009;LX;460;AR1
28;LHR;ZRH;08/10/2009;LX;327;320
29;ZRH;SKG;08/10/2009;LX;1850;321
30;SKG;ZRH;11/10/2009;LX;1851;321
31;ZRH;LCY;11/10/2009;LX;458;AR1
32;LHR;ZRH;22/12/2009;LX;325;320
33;ZRH;SKG;22/12/2009;LX;1850;321
34;SKG;LGW;03/01/2010;ZB;8033;321
35;LHR;ATH;13/02/2010;OA;270;320
36;ATH;SKG;13/02/2010;OA;918;320
37;SKG;ATH;18/02/2010;OA;905;319
38;ATH;LHR;18/02/2010;OA;265;320
39;STN;SXF;17/03/2010;FR;8542;738
40;SXF;STN;19/03/2010;FR;8547;738
41;LHR;FCO;20/03/2010;AZ;207;M82
42;FCO;SKG;20/03/2010;AZ;732;M82
43;SKG;FCO;06/04/2010;AZ;729;M82
44;FCO;LHR;06/04/2010;AZ;206;M82
45;BHX;ZRH;20/08/2010;LX;425;AR1
46;ZRH;SKG;20/08/2010;LX;1850;321
47;SKG;ZRH;29/08/2010;LX;1851;321
48;ZRH;BHX;29/08/2010;LX;420;AR1
49;LGW;LGW;28/09/2010;BA;2642;734
50;LGW;SKG;28/09/2010;BA;2642;734
51;SKG;LGW;31/10/2010;OA;283;319
52;LTN;CDG;11/12/2010;U2;2433;319
53;CDG;LTN;13/12/2010;U2;2442;319
54;LHR;FCO;17/12/2010;AZ;203;320
55;FCO;SKG;17/12/2010;AZ;732;320
56;SKG;FCO;09/01/2011;AZ;733;320
57;FCO;LHR;09/01/2011;AZ;202;320
58;LGW;SKG;10/02/2011;BA;2642;734
59;SKG;LGW;13/02/2011;BA;2643;734
60;LHR;YUL;26/02/2011;AC;865;333
61;YUL;LHR;08/03/2011;AC;864;333
62;LHR;FCO;22/04/2011;AZ;207;321
63;FCO;SKG;22/04/2011;AZ;732;320
64;SKG;FCO;01/05/2011;AZ;729;320
65;FCO;LHR;01/05/2011;AZ;208;320
66;BHX;ZRH;28/07/2011;LX;425;AR1
67;ZRH;SKG;28/07/2011;LX;1850;321
68;SKG;ZRH;18/08/2011;LX;1851;321
69;ZRH;BHX;18/08/2011;LX;420;AR1
70;LCY;ANR;02/12/2011;AF;5233;F50
71;ANR;LCY;05/12/2011;AF;5234;F50
72;LHR;FCO;20/12/2011;AZ;207;320
73;FCO;SKG;20/12/2011;AZ;732;319
74;SKG;FCO;07/01/2012;AZ;733;319
75;FCO;LHR;07/01/2012;AZ;202;321
76;STN;SKG;16/03/2012;FR;8582;738
77;SKG;STN;21/03/2012;FR;8583;738
78;BHX;ZRH;30/05/2012;LX;425;AR1
79;ZRH;SKG;30/05/2012;LX;1850;321
80;SKG;ZRH;05/06/2012;LX;1851;321
81;ZRH;BHX;05/06/2012;LX;420;AR1
82;LTN;SXF;06/07/2012;U2;2101;319
83;SXF;LTN;08/07/2012;U2;2106;320
84;BHX;ZRH;23/07/2012;LX;425;AR1
85;ZRH;SKG;23/07/2012;LX;1850;321
86;SKG;ZRH;02/08/2012;LX;1851;321
87;ZRH;BHX;02/08/2012;LX;420;AR1
88;LCY;BRN;19/12/2012;SX;503;DH4
89;BRN;SKG;19/12/2012;SX;800;DH4
90;SKG;BRN;07/01/2013;SX;801;DH4
91;BRN;LCY;07/01/2013;SX;500;D38
92;LCY;BRN;22/02/2013;SX;503;D38
93;BRN;SKG;22/02/2013;SX;800;DH4
94;SKG;BRN;28/02/2013;SX;801;DH4
95;BRN;LCY;28/02/2013;SX;500;D38
96;BHX;HAJ;10/03/2013;BE;433;E75
97;HAJ;BHX;16/03/2013;BE;432;DH4
98;STN;SKG;26/06/2013;FR;8582;738
99;SKG;STN;28/06/2013;FR;8583;738
100;EGTC;EGTC;17/07/2013;Cranfield Aviation School;-;Cessna 172
101;STN;SKG;22/07/2013;FR;8582;738
102;SKG;RHO;31/07/2013;A3;501;320
103;KZS;RHO;06/08/2013;OA;27;DH1
104;RHO;SKG;06/08/2013;A3;502;320
105;SKG;STN;07/08/2013;FR;8583;738
106;CRL;SKG;18/12/2013;FR;6446;738
107;SKG;CRL;01/01/2014;FR;6447;738
108;CRL;SKG;08/02/2014;FR;6446;738
109;SKG;CRL;15/02/2014;FR;6447;738
110;CRL;EDI;18/04/2014;FR;7353;738
111;CRL;SKG;22/05/2014;FR;6446;738
112;SKG;ATH;28/05/2014;FR;17;738
113;SKG;STN;02/12/2014;FR;8583;738
114;CRL;SKG;12/12/2014;FR;6446;738
115;SKG;CRL;03/03/2015;FR;6447;738
116;LIL;TLS;31/03/2015;U2;1702;319
117;TLS;LIL;02/04/2015;U2;1701;319
118;CRL;SKG;21/04/2015;FR;6446;738
119;SKG;CRL;24/04/2015;FR;6447;738
120;CRL;CCF;26/04/2015;FR;8023;738
121;TLS;ORY;26/06/2015;U2;4030;319
122;TLS;ATH;11/07/2015;A3;641;320
123;ATH;SKG;11/07/2015;A3;124;320
124;CFU;CDG;20/07/2015;U2;3934;320
125;CDG;TLS;20/07/2015;U2;3965;320
126;TLS;ORY;12/08/2015;AF;6131;320
127;ORY;TLS;12/08/2015;AF;6134;320
128;TLS;LGW;14/08/2015;U2;5340;320
129;LGW;TLS;17/08/2015;U2;5333;320
130;TLS;BRU;04/09/2015;U2;1723;319
131;BRU;TLS;06/09/2015;U2;1724;319
132;TLS;LIL;26/09/2015;A5;3451;E70
133;LIL;TLS;29/09/2015;A5;3450;E70
134;TLS;ATH;10/10/2015;A3;641;320
135;ATH;SKG;10/10/2015;A3;124;320
136;SKG;ATH;13/10/2015;A3;101;320
137;ATH;TLS;13/10/2015;A3;640;320
138;TLS;GVA;28/11/2015;U2;1474;319
139;GVA;TLS;29/11/2015;U2;1473;319
140;TLS;ATH;13/08/2016;A3;641;321
141;ATH;SKG;13/08/2016;A3;126;320
142;SKG;ATH;31/08/2016;FR;1011;738
143;ATH;SKG;05/09/2016;FR;6598;738
144;SKG;ATH;06/09/2016;A3;101;320
145;ATH;TLS;06/09/2016;A3;640;320
146;TLS;BRU;29/10/2016;SN;3668;320
147;BRU;TLS;01/11/2016;SN;3675;320
148;TLS;ORY;26/12/2016;U2;4029;320
149;ORY;TLS;29/12/2016;U2;4026;320
150;TLS;ATH;13/04/2017;A3;641;320
151;ATH;SKG;13/04/2017;A3;7122;320
152;SKG;ATH;22/04/2017;A3;7111;320
153;ATH;TLS;22/04/2017;A3;640;320
154;TLS;AMS;23/05/2017;KL;1300;E90
155;AMS;TLS;23/05/2017;KL;1313;E90
156;TLS;STN;24/05/2017;FR;282;738
157;STN;TLS;29/05/2017;FR;281;738
158;TLS;HER;06/07/2017;A3;429;320
159;HER;ATH;14/07/2017;FR;1225;738
160;ATH;TLS;17/07/2017;A3;640;320
161;TLS;AMS;27/07/2017;KL;1306;E90
162;AMS;LCY;05/12/2017;KL;997;E90
163;LCY;AMS;07/12/2017;KL;998;E90
164;AMS;SKG;25/01/2018;HV;5807;738
165;SKG;AMS;30/01/2018;HV;5808;738
166;AMS;SIN;19/04/2018;KL;835;77W
167;SIN;DPS;20/04/2018;KL;835;77W
168;DPS;SIN;27/04/2018;KL;836;77W
169;SIN;AMS;28/04/2018;KL;836;77W
170;AMS;MAN;10/05/2018;U2;;noinfo
171;MAN;AMS;13/05/2018;U2;;noinfo
172;AMS;BCN;14/06/2018;VY;;noinfo
173;BCN;AMS;17/06/2018;VY;;noinfo
174;AMS;ATH;12/07/2018;A3;;noinfo
175;ATH;SKG;19/07/2018;A3;;noinfo
176;SKG;IST;26/07/2018;TK;;738
177;IST;SKG;28/07/2018;TK;;738
178;SKG;AMS;29/07/2018;HV;;738
179;AMS;CDG;02/08/2018;KL;;noinfo
180;CDG;AMS;03/08/2018;AF;;noinfo
181;AMS;JFK;18/10/2018;DL;;noinfo
182;JFK;AMS;22/10/2018;KL;;noinfo
183;AMS;ATH;21/12/2018;A3;;noinfo
184;ATH;SKG;21/12/2018;A3;;noinfo
185;SKG;ATH;02/01/2019;A3;;noinfo
186;ATH;AMS;02/01/2019;A3;;noinfo
187;AMS;ARN;03/02/2019;KL;;noinfo
188;ARN;AMS;06/02/2019;KL;;noinfo
189;AMS;CDG;06/03/2019;KL;;noinfo
190;CDG;AMS;06/03/2019;AF;;noinfo
191;AMS;CDG;18/04/2019;KL;;noinfo
192;CDG;AMS;18/04/2019;AF;;noinfo
193;AMS;CDG;15/05/2019;;;noinfo
194;CDG;AMS;17/05/2019;;;noinfo
195;AMS;TLS;04/06/2019;KL;;noinfo
196;TLS;AMS;04/06/2019;KL;;noinfo
197;AMS;ATH;03/07/2019;A3;;noinfo
198;SKG;AMS;22/07/2019;HV;;738
199;AMS;CDG;23/07/2019;;;noinfo
200;CDG;AMS;23/07/2019;;;noinfo
201;AMS;CDG;07/08/2019;;;noinfo
202;CDG;AMS;07/08/2019;;;noinfo
203;AMS;CDG;25/09/2019;;;noinfo
204;CDG;AMS;25/09/2019;;;noinfo
205;AMS;SKG;12/10/2019;HV;;738
206;SKG;AMS;20/10/2019;HV;;738
